MACRO_GENSPECIES,FINAL_ID,MMS_TOLERANCE,MMS_TOLERANCE_NAME,MMS_NBI_PHOSPHORUS_TOL,MMS_NBI_NITRATE_TOL,MMS_FEEDING_HABITS,MMS_REFERENCE,MMS_PREV_NAME,MMS_INTEGR_TAXONOMIC_INFO_SYS,MMS_KINGDOM,MMS_SUBKINGDOM,MMS_INFRAKINGDOM,MMS_SUPERPHYLUM,MMS_PHYLUM,MMS_SUBPHYLUM,MMS_CLASS,MMS_SUBCLASS,MMS_INFRACLASS,MMS_SUPERORDER,MMS_ORDER,MMS_SUBORDER,MMS_INFRAORDER,MMS_SUPERFAMILY,MMS_FAMILY,MMS_SUBFAMILY,MMS_TRIBE,MMS_GENUS,MMS_SPECIES,MSTR_MACRO_SPECIES_ID,MMS_CLASSIFIER,MMS_COMMON_NAME,MMS_WATER_QLTY_EXCHANGE_NAME,MMS_WQX_UNIDENTIFD_SPECEIS_NAME
ABLABESMYIA ANNULATA,ABLABESMYIA_ANNULATA,8,tolerant,,,predator,95,ablabesmyia_sp._4,128081,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_annulata,,,,,
ABLABESMYIA ASPERA,ABLABESMYIA_ASPERA,8,tolerant,,,predator,95,,128083,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_aspera,,,,,
ABLABESMYIA IDEI,ABLABESMYIA_IDEI,8,tolerant,,,predator,95,,128090,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_idei,,,,,
ABLABESMYIA ILLINOENSIS,ABLABESMYIA_ILLINOENSIS,8,tolerant,,,predator,,,128092,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_illinoensis,,,,,
ABLABESMYIA JANTA,ABLABESMYIA_JANTA,8,tolerant,,,predator,95,,128093,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_janta,,,,,
ABLABESMYIA MALLOCHI,ABLABESMYIA_MALLOCHI,8,tolerant,,,predator,95,,128097,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_mallochi,,,,,
ABLABESMYIA MONILIS,ABLABESMYIA_MONILIS,8,tolerant,,,predator,95,"ablabesmyia_basalis,_ablabesmyia_parajanta",128107,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_monilis,,,,,
ABLABESMYIA PELEENSIS,ABLABESMYIA_PELEENSIS,8,tolerant,,,predator,95,,128113,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_peleensis,,,,,
ABLABESMYIA PHILOSPHAGNOS,ABLABESMYIA_PHILOSPHAGNOS,8,tolerant,,,predator,95,,128115,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_philosphagnos,,,,,
ABLABESMYIA RHAMPHE,ABLABESMYIA_RHAMPHE,8,tolerant,,,predator,36,,128121,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_rhamphe,,,,,
ABLABESMYIA SIMPSONI,ABLABESMYIA_SIMPSONI,8,tolerant,,,predator,95,,128123,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,ablabesmyia_simpsoni,,,,,
ABLABESMYIA SP.,ABLABESMYIA_SP.,8,tolerant,,,predator,95,,128079,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,pentaneurini,ablabesmyia,,,,,,
ACENTRELLA AMPLA,ACENTRELLA_AMPLA,6,facultative,,,gatherer,"74,119",baetis_amplus,776946,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,heterocloeon,heterocloeon_amplum,,,,,
ACENTRELLA SP.,ACENTRELLA_SP.,4,intolerant,5,5,gatherer,83,pseudocloeon_sp.,100801,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,acentrella,,,,,,
ACENTRELLA TURBIDA,ACENTRELLA_TURBIDA,4,intolerant,,,gatherer,83,,568574,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,acentrella,acentrella_turbida,,,,,
ACENTRIA SP.,ACENTRIA_SP.,5,facultative,,,shredder,"83,66",,117741,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,lepidoptera,,,pyraloidea,crambidae,nymphulinae,acentropini,acentria,,,,,,
ACERPENNA MACDUNNOUGHI,ACERPENNA_MACDUNNOUGHI,5,facultative,,,gatherer,"74,120",baetis_macdunnoughi,568671,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,acerpenna,acerpenna_macdunnoughi,,,,,
ACERPENNA PYGMAEA,ACERPENNA_PYGMAEA,4,intolerant,0,4,gatherer,"74,120",baetis_pygmaeus,206620,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,acerpenna,acerpenna_pygmaea,,,,,
ACERPENNA SP.,ACERPENNA_SP.,4,intolerant,,,gatherer,"74,120",,568546,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,acerpenna,,,,,,
ACRICOTOPUS NITIDELLUS,ACRICOTOPUS_NITIDELLUS,10,tolerant,,,gatherer,"124,36",acricotopus_sp.,128466,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,orthocladiinae,,acricotopus,acricotopus_nitidellus,,,,,
ACRICOTOPUS SP.,ACRICOTOPUS_SP.,10,tolerant,,,gatherer,"124,36",,128463,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,orthocladiinae,,acricotopus,,,,,,
ACRONEURIA ABNORMIS,ACRONEURIA_ABNORMIS,0,intolerant,0,0,predator,"55,114",,102919,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,acroneuriinae,acroneuriini,acroneuria,acroneuria_abnormis,,,,,
ACRONEURIA ARENOSA,ACRONEURIA_ARENOSA,0,intolerant,,,predator,"55,_114",,102920,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,acroneuriinae,acroneuriini,acroneuria,acroneuria_arenosa,,,,,
ACRONEURIA CAROLINENSIS,ACRONEURIA_CAROLINENSIS,0,intolerant,,,predator,"55,114",,102922,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,acroneuriinae,acroneuriini,acroneuria,acroneuria_carolinensis,,,,,
ACRONEURIA LYCORIAS,ACRONEURIA_LYCORIAS,0,intolerant,,,predator,"55,114",,102918,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,acroneuriinae,acroneuriini,acroneuria,acroneuria_lycorias,,,,,
ACRONEURIA SP.,ACRONEURIA_SP.,0,intolerant,0,0,predator,"55,114",,102917,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,acroneuriinae,acroneuriini,acroneuria,,,,,,
ADICROPHLEPS HITCHCOCKI,ADICROPHLEPS_HITCHCOCKI,2,intolerant,,,shredder,125,,116957,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,limnephiloidea,brachycentridae,,,adicrophleps,adicrophleps_hitchcocki,,,,,
ADICROPHLEPS SP.,ADICROPHLEPS_SP.,2,intolerant,,,shredder,125,,116956,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,limnephiloidea,brachycentridae,,,adicrophleps,,,,,,
AEOLOSOMA HEADLEYI?,AEOLOSOMA_HEADLEYI?,8,tolerant,,,filterer,29,,68426,animalia,bilateria,protostomia,lophozoa,annelida,,,,,,,,,,aeolosomatidae,,,aeolosoma,aeolosoma_headleyi,,,,,
AEOLOSOMA LEIDYI?,AEOLOSOMA_LEIDYI?,8,tolerant,,,filterer,29,,68430,animalia,bilateria,protostomia,lophozoa,annelida,,,,,,,,,,aeolosomatidae,,,aeolosoma,aeolosoma_leidyi,,,,,
AEOLOSOMA QUARTERNARIUM?,AEOLOSOMA_QUARTERNARIUM?,8,tolerant,,,filterer,29,,68424,animalia,bilateria,protostomia,lophozoa,annelida,,,,,,,,,,aeolosomatidae,,,aeolosoma,aeolosoma_quarternarium,,,,,
AEOLOSOMA SP.,AEOLOSOMA_SP.,8,tolerant,,,filterer,29,,68424,animalia,bilateria,protostomia,lophozoa,annelida,,,,,,,,,,aeolosomatidae,,,aeolosoma,,,,,,
AEOLOSOMA TENEBRARUM?,AEOLOSOMA_TENEBRARUM?,8,tolerant,,,filterer,29,,68428,animalia,bilateria,protostomia,lophozoa,annelida,,,,,,,,,,aeolosomatidae,,,aeolosoma,aeolosoma_tenebrarum,,,,,
AEOLOSOMA TRAVANCORENSE?,AEOLOSOMA_TRAVANCORENSE?,8,tolerant,,,filterer,29,,68424,animalia,bilateria,protostomia,lophozoa,annelida,,,,,,,,,,aeolosomatidae,,,aeolosoma,aeolosoma_travancorense,,,,,
AESHNA SP.,AESHNA_SP.,5,facultative,,,predator,122,,101603,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,odonata,anisoptera,,,aeshnidae,,,aeshna,,,,,,
AGABETES SP.,AGABETES_SP.,5,facultative,,,predator,"83,123",,112072,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,adephaga,,,dytiscidae,laccophilinae,agabetini,agabetes,,,,,,
AGABUS SP.,AGABUS_SP.,5,facultative,,,predator,"83,123",,111966,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,adephaga,,,dytiscidae,agabinae,agabini,agabus,,,,,,
AGAPETUS SP.,AGAPETUS_SP.,0,intolerant,,,scraper,125,,117121,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,glossosomatoidea,glossosomatidae,agapetinae,,agapetus,,,,,,
AGARODES SP.,AGARODES_SP.,3,intolerant,,,shredder,,,116983,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,sericostomatoidea,sericostomatidae,,,agarodes,,,,,,
AGNETINA ANNULIPES,AGNETINA_ANNULIPES,2,intolerant,,,predator,"112,114",,102983,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,perlinae,perlini,agnetina,agnetina_annulipes,,,,,
AGNETINA CAPITATA,AGNETINA_CAPITATA,2,intolerant,3,6,predator,"112,114","phasganophora_capitata,_neophasganophora_capitata",102979,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,perlinae,perlini,agnetina,agnetina_capitata,,,,,
AGNETINA FLAVESCENS,AGNETINA_FLAVESCENS,2,intolerant,,,predator,"112,114",,102984,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,perlinae,perlini,agnetina,agnetina_flavescens,,,,,
AGNETINA SP.,AGNETINA_SP.,2,intolerant,,,predator,"112,114",,102975,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,perlinae,perlini,agnetina,,,,,,
AGRAYLEA SP.,AGRAYLEA_SP.,8,tolerant,,,gatherer,125,,115635,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,hydroptiloidea,hydroptilidae,hydroptilinae,hydroptilini,agraylea,,,,,,
ALISOTRICHIA SP.,ALISOTRICHIA_SP.,6,facultative,,,scraper,125,,181197,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,hydroptiloidea,hydroptilidae,hydroptilinae,leucotrichiini,alisotrichia,,,,,,
ALLOCAPNIA SP.,ALLOCAPNIA_SP.,3,intolerant,,,shredder,"52,114",,102644,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,,,capniidae,capniinae,,allocapnia,,,,,,
ALLOCAPNIA VIVIPARA,ALLOCAPNIA_VIVIPARA,3,intolerant,,,shredder,"52,114",,102657,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,,,capniidae,capniinae,,allocapnia,allocapnia_vivipara,,,,,
ALLOPERLA SP.,ALLOPERLA_SP.,0,intolerant,,,gatherer,"83,114",,103203,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,chloroperlidae,chloroperlinae,,alloperla,,,,,,
ALMYRACUMA PROXIMOCULI,ALMYRACUMA_PROXIMOCULI,5,facultative,,,gatherer,48,,90979,animalia,bilateria,protostomia,ecdysozoa,arthropoda,crustacea,malacostraca,eumalacostraca,,peracarida,cumacea,,,,nannastacidae,,,almyracuma,almyracuma_proximoculi,,,,,
ALMYRACUMA SP.,ALMYRACUMA_SP.,5,facultative,,,gatherer,48,,90978,animalia,bilateria,protostomia,ecdysozoa,arthropoda,crustacea,malacostraca,eumalacostraca,,peracarida,cumacea,,,,nannastacidae,,,almyracuma,,,,,,
ALOTANYPUS ARIS,ALOTANYPUS_ARIS,9,tolerant,,,predator,36,alotanypus_sp.,206646,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,coelotanypodini,alotanypus,alotanypus_aris,,,,,
ALOTANYPUS SP.,ALOTANYPUS_SP.,9,tolerant,,,predator,36,,206646,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,coelotanypodini,alotanypus,,,,,,
AMELETUS LUDENS,AMELETUS_LUDENS,0,intolerant,,,gatherer,"83,34",,101010,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,ameletidae,,,ameletus,ameletus_ludens,,,,,
AMELETUS SP.,AMELETUS_SP.,0,intolerant,,,gatherer,83,,100996,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,ameletidae,,,ameletus,,,,,,
AMNICOLA DECEPTA,AMNICOLA_DECEPTA,5,facultative,,,scraper,"83,60",amnicola_lustrica,70747,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,,,,neotaenioglossa,,,,hydrobiidae,,,amnicola,amnicola_decepta,,,,,
AMNICOLA GRANA,AMNICOLA_GRANA,5,facultative,,,scraper,"60,83",,70772,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,,,,neotaenioglossa,,,,hydrobiidae,,,amnicola,amnicola_granum,,,,,
AMNICOLA LIMOSA,AMNICOLA_LIMOSA,5,facultative,,,scraper,"60,83",,70748,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,,,,neotaenioglossa,,,,hydrobiidae,,,amnicola,amnicola_limosus,,,,,
AMNICOLA SP.,AMNICOLA_SP.,5,facultative,,,scraper,"60,83",,70747,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,,,,neotaenioglossa,,,,hydrobiidae,,,amnicola,,,,,,
AMPHICHAETA AMERICANA,AMPHICHAETA_AMERICANA,6,facultative,,,gatherer,"18,83",,68981,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,naidinae,,amphichaeta,amphichaeta_americana,,,,,
AMPHICHAETA SP.,AMPHICHAETA_SP.,6,facultative,,,gatherer,"18,83",,68979,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,naidinae,,amphichaeta,,,,,,
AMPHINEMURA DELOSA,AMPHINEMURA_DELOSA,3,intolerant,,,shredder,54,,102541,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,,,nemouridae,amphinemurinae,,amphinemura,amphinemura_delosa,,,,,
AMPHINEMURA NIGRITTA,AMPHINEMURA_NIGRITTA,3,intolerant,,,shredder,54,,102542,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,,,nemouridae,amphinemurinae,,amphinemura,amphinemura_nigritta,,,,,
AMPHINEMURA SP.,AMPHINEMURA_SP.,3,intolerant,,,shredder,"83,114",,102540,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,,,nemouridae,amphinemurinae,,amphinemura,,,,,,
AMPHINEMURA WUI,AMPHINEMURA_WUI,3,intolerant,,,shredder,54,,102543,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,,,nemouridae,amphinemurinae,,amphinemura,amphinemura_wui,,,,,
ANACAENA SP.,ANACAENA_SP.,5,facultative,,,gatherer,"83,123",,112878,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,polyphaga,staphyliniformia,hydrophiloidea,hydrophilidae,hydrophilinae,anacaenini,anacaena,,,,,,
ANAX LONGIPES,ANAX_LONGIPES,7,facultative,,,predator,,,101599,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,odonata,anisoptera,,,aeshnidae,,,anax,anax_longipes,,,,,
ANCHYTARSUS BICOLOR,ANCHYTARSUS_BICOLOR,3,intolerant,,,shredder,19,,114668,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,polyphaga,elateriformia,byrrhoidea,ptilodactylidae,anchytarsinae,,anchytarsus,anchytarsus_bicolor,,,,,
ANCYRONYX SP.,ANCYRONYX_SP.,5,facultative,,,gatherer,19,,114193,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,polyphaga,elateriformia,byrrhoidea,elmidae,elminae,ancyronychini,ancyronyx,,,,,,
ANCYRONYX VARIEGATUS,ANCYRONYX_VARIEGATUS,5,facultative,,,gatherer,19,,114194,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,polyphaga,elateriformia,byrrhoidea,elmidae,elminae,ancyronychini,ancyronyx,ancyronyx_variegatus,,,,,
ANODONTA IMPLICATA,ANODONTA_IMPLICATA,6,facultative,,,filterer,"116,83,3",,983774,animalia,bilateria,protostomia,lophozoa,mollusca,,bivalvia,palaeoheterodonta,,,unionoida,,,unionoidea,unionidae,unioninae,alasmidontini,pyganodon,pyganodon_implicata,,,,,
ANODONTA SP.,ANODONTA_SP.,6,facultative,,,filterer,"116,83,3",,79930,animalia,bilateria,protostomia,lophozoa,mollusca,,bivalvia,palaeoheterodonta,,,unionoida,,,unionoidea,unionidae,unioninae,anodontini,anodonta,,,,,,
ANOPHELES SP.,ANOPHELES_SP.,8,tolerant,,,filterer,83,,125956,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,culicidae,anophelinae,,anopheles,,,,,,
ANTHOPOTAMUS SP.,ANTHOPOTAMUS_SP.,4,intolerant,4,5,gatherer,"83,73",potamanthus_sp.,568559,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,furcatergalia,scapphodonta,potamanthoidea,potamanthidae,,,anthopotamus,,,,,,
ANTHOPOTAMUS VERTICUS,ANTHOPOTAMUS_VERTICUS,4,intolerant,,,gatherer,"72,73",potamanthus_verticus,609662,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,furcatergalia,scapphodonta,potamanthoidea,potamanthidae,,,anthopotamus,anthopotamus_verticis,,,,,
ANTOCHA SP.,ANTOCHA_SP.,3,intolerant,8,6,gatherer,"83,25",,119656,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,tipulomorpha,,tipulidae,limoniinae,limoniini,antocha,,,,,,
ANTOCHA SP. 1,ANTOCHA_SP._1,3,intolerant,,,gatherer,"83,25",,119656,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,tipulomorpha,,tipulidae,limoniinae,limoniini,antocha,,,,,,
ANTOCHA SP. 2,ANTOCHA_SP._2,3,intolerant,,,gatherer,"83,25",,119656,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,tipulomorpha,,tipulidae,limoniinae,limoniini,antocha,,,,,,
APATANIA SP.,APATANIA_SP.,3,intolerant,3,4,scraper,125,,115935,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,limnephiloidea,apataniidae,apataniinae,apataniini,apatania,,,,,,
APEDILUM SP.,APEDILUM_SP.,6,facultative,,,gatherer,36,,206655,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,apedilum,,,,,,
APSECTROTANYPUS JOHNSONI,APSECTROTANYPUS_JOHNSONI,7,facultative,,,predator,"92,36",apsectrotanypus_sp.,128024,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,macropelopiini,apsectrotanypus,apsectrotanypus_johnsoni,,,,,
ARCTEONAIS LOMONDI,ARCTEONAIS_LOMONDI,6,facultative,,,gatherer,"18,83",,68976,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,naidinae,,arcteonais,arcteonais_lomondi,,,,,
ARCTEONAIS SP.,ARCTEONAIS_SP.,6,facultative,,,gatherer,"18,83",,68975,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,naidinae,,arcteonais,,,,,,
ARCTOPSYCHE LADOGENSIS,ARCTOPSYCHE_LADOGENSIS,1,intolerant,,,filterer,"125,83",,115534,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,hydropsychoidea,hydropsychidae,arctopsychinae,,arctopsyche,arctopsyche_ladogensis,,,,,
ARCTOPSYCHE SP.,ARCTOPSYCHE_SP.,1,intolerant,,,filterer,"125,83",,115529,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,hydropsychoidea,hydropsychidae,arctopsychinae,,arctopsyche,,,,,,
ARGIA MOESTA,ARGIA_MOESTA,6,facultative,,,predator,"83,122",,102146,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,odonata,zygoptera,,,coenagrionidae,,,argia,argia_moesta,,,,,
ARGIA SP.,ARGIA_SP.,6,facultative,,,predator,"83,122",,102139,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,odonata,zygoptera,,,coenagrionidae,,,argia,,,,,,
ARRENURUS SP.,ARRENURUS_SP.,6,facultative,,,predator,108,,82864,animalia,bilateria,protostomia,ecdysozoa,arthropoda,chelicerata,arachnida,acari,,acariformes,trombidiformes,prostigmata,,arrenuroidea,arrenuridae,,,arrenurus,,,,,,
ATHERIX SP.,ATHERIX_SP.,4,intolerant,8,5,predator,117,,130929,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,brachycera,tabanomorpha,,athericidae,,,atherix,,,,,,
ATRACTIDES SP.,ATRACTIDES_SP.,6,facultative,,,predator,108,,83282,animalia,bilateria,protostomia,ecdysozoa,arthropoda,chelicerata,arachnida,acari,,acariformes,trombidiformes,prostigmata,,hygrobatoidea,hygrobatidae,,,atractides,,,,,,
ATRICHOPOGON SP.,ATRICHOPOGON_SP.,6,facultative,,,predator,83,,127113,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,ceratopogonidae,forcipomyiinae,,atrichopogon,,,,,,
ATTENELLA ATTENUATA,ATTENELLA_ATTENUATA,1,intolerant,,,gatherer,2,,101340,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,furcatergalia,pannota,ephemerelloidea,ephemerellidae,,,attenella,attenella_attenuata,,,,,
