MACRO_GENSPECIES,FINAL_ID,MMS_TOLERANCE,MMS_TOLERANCE_NAME,MMS_NBI_PHOSPHORUS_TOL,MMS_NBI_NITRATE_TOL,MMS_FEEDING_HABITS,MMS_REFERENCE,MMS_PREV_NAME,MMS_INTEGR_TAXONOMIC_INFO_SYS,MMS_KINGDOM,MMS_SUBKINGDOM,MMS_INFRAKINGDOM,MMS_SUPERPHYLUM,MMS_PHYLUM,MMS_SUBPHYLUM,MMS_CLASS,MMS_SUBCLASS,MMS_INFRACLASS,MMS_SUPERORDER,MMS_ORDER,MMS_SUBORDER,MMS_INFRAORDER,MMS_SUPERFAMILY,MMS_FAMILY,MMS_SUBFAMILY,MMS_TRIBE,MMS_GENUS,MMS_SPECIES,MSTR_MACRO_SPECIES_ID,MMS_CLASSIFIER,MMS_COMMON_NAME,MMS_WATER_QLTY_EXCHANGE_NAME,MMS_WQX_UNIDENTIFD_SPECEIS_NAME
POLYPEDILUM AVICEPS,POLYPEDILUM_AVICEPS,4,facultative,5,7,shredder,69,,129666,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_aviceps,,,,,
POLYPEDILUM BERGI,POLYPEDILUM_BERGI,5,facultative,,,shredder,"111,69",,129726,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_bergi,,,,,
POLYPEDILUM BRASENIAE,POLYPEDILUM_BRASENIAE,3,intolerant,,,gatherer,,,129667,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_braseniae,,,,,
POLYPEDILUM DIGITIFER,POLYPEDILUM_DIGITIFER,8,facultative,,,shredder,"69,111",,129675,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_digitifer,,,,,
POLYPEDILUM FALLAX GR.,POLYPEDILUM_FALLAX_GR.,6,facultative,,,shredder,69,polypedilum_sp._3,129676,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_fallax,,,,,
POLYPEDILUM FLAVUM,POLYPEDILUM_FLAVUM,6,facultative,9,7,shredder,69,"polypedilum_convictum,_polypedilum_sp._1",129657,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_flavum,,,,,
POLYPEDILUM GRISEOPUNCTATUM,POLYPEDILUM_GRISEOPUNCTATUM,6,facultative,,,shredder,111,,129682,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_griseopunctatum,,,,,
POLYPEDILUM HALTERALE GR.,POLYPEDILUM_HALTERALE_GR.,6,facultative,,,shredder,"69,36",polypedilum_halterale,129684,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_halterale,,,,,
POLYPEDILUM ILLINOENSE,POLYPEDILUM_ILLINOENSE,7,facultative,10,7,shredder,69,polypedilum_sp._1,129686,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_illinoense,,,,,
POLYPEDILUM LAETUM,POLYPEDILUM_LAETUM,6,facultative,7,6,shredder,69,,129692,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_laetum,,,,,
POLYPEDILUM OBTUSUM,POLYPEDILUM_OBTUSUM,6,facultative,,,shredder,69,,129697,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_obtusum,,,,,
POLYPEDILUM ONTARIO,POLYPEDILUM_ONTARIO,3,facultative,,,shredder,69,,129698,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_ontario,,,,,
POLYPEDILUM SCALAENUM GR.,POLYPEDILUM_SCALAENUM_GR.,6,facultative,10,6,shredder,69,"polypedilum_scalaenum,_polypedilum_nr._scalaenum,_polypedilum_sp._4",129708,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_scalaenum,,,,,
POLYPEDILUM SIMULANS GR.,POLYPEDILUM_SIMULANS_GR.,6,facultative,,,shredder,69,,129711,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_simulans,,,,,
